,Year,District,Crop,Season,Rainfall_mm,Avg_Temp_C,Area_Ha,y,y_pred1
0,1999,cuttack,rice,winter,40,25,133000,0.37,0.78407294
1,2000,cuttack,rice,winter,42,22,139830,1.19,1.2347567
5,2004,cuttack,rice,winter,46,27,129000,1.94,1.8309366
6,2005,cuttack,rice,winter,39,20,135000,2.01,1.9651415
7,2006,cuttack,rice,winter,38,24,121000,1.5,1.972632
8,2007,cuttack,rice,winter,100,25,130000,1.72,1.6644175
9,2008,cuttack,rice,winter,125,26,120000,1.43,1.5903473
10,2009,cuttack,rice,winter,30,21,128000,2.09,1.8691196
11,2010,cuttack,rice,winter,4,23,126000,1.84,1.8707843
12,2011,cuttack,rice,winter,10,20.8,128000,1.92,1.958824
13,2012,cuttack,rice,winter,45,21,120000,2.99,2.3382227
14,2013,cuttack,rice,winter,85,25,115000,1.46,1.6809435
15,2014,cuttack,rice,winter,40,24,120000,2.51,2.452947
16,2015,cuttack,rice,winter,30,29,118000,2.03,2.095885
17,2016,cuttack,rice,winter,10,28,116190,3.34,3.1086993
18,2017,cuttack,rice,winter,16,27,106570,2.22,2.644653
19,2018,cuttack,rice,winter,35,24,96450,2.7,2.6097486
20,2019,cuttack,rice,winter,10,26,116810,3.29,3.2624416
22,1999,cuttack,rice,autumn,210,30,19900,1.22,0.9115394
23,2000,cuttack,rice,autumn,300,29,3250,1.27,1.1758492
27,2004,cuttack,rice,autumn,210,29,5000,1.31,1.1146915
28,2005,cuttack,rice,autumn,250,30,5000,1.5,1.1642835
29,2006,cuttack,rice,autumn,280,28,5000,1.17,1.1095752
30,2007,cuttack,rice,autumn,259,27,5000,1,1.1124071
31,2008,cuttack,rice,autumn,279,29,5000,0.63,0.9744607
32,2009,cuttack,rice,autumn,300,30,3000,1.5,1.0207152
33,2010,cuttack,rice,autumn,351,31,3000,1,1.0072738
34,2011,cuttack,rice,autumn,210,30,4000,0.67,1.0670435
35,2012,cuttack,rice,autumn,240,30,376000,2.13,1.75592
36,2013,cuttack,rice,autumn,269,29,3000,1,1.40898
37,2014,cuttack,rice,autumn,274,28,1000,2,1.6085217
38,2015,cuttack,rice,autumn,236,30,1000,1.5,1.4610687
39,2016,cuttack,rice,autumn,245,28,1500,1.79,1.6877497
40,2017,cuttack,rice,autumn,308,29,350,1.02,1.4524726
41,2018,cuttack,rice,autumn,310,30,780,1.61,1.5220237
42,2019,cuttack,rice,autumn,300,29,2050,2.4,2.143324
115,2004,cuttack,groundnut,autumn,210,29,376,0.56,0.7439445
116,2005,cuttack,groundnut,autumn,250,30,236,0.63,0.707113
117,2006,cuttack,groundnut,autumn,280,28,456,0.8,0.81129444
118,2007,cuttack,groundnut,autumn,259,27,249,0.79,0.8406011
119,2008,cuttack,groundnut,autumn,279,29,285,0.58,0.6960885
120,2009,cuttack,groundnut,autumn,300,30,211,0.74,0.7260421
121,2010,cuttack,groundnut,autumn,351,31,349,0.78,0.76891434
122,2011,cuttack,groundnut,autumn,210,30,206,0.65,0.7400226
123,2012,cuttack,groundnut,autumn,240,30,61,0.64,0.95958465
124,2013,cuttack,groundnut,autumn,269,29,20,1.06,0.94991225
127,2016,cuttack,groundnut,autumn,245,28,57,1.16,1.1812289
129,2018,cuttack,groundnut,autumn,310,30,27,1.03,1.0308744
130,2019,cuttack,groundnut,autumn,300,29,62,1.77,1.5689328
132,1999,cuttack,rice,summer,29,25,19900,2.31,2.0991778
133,2000,cuttack,rice,summer,25,29,3250,1.96,2.026673
137,2004,cuttack,rice,summer,25,29,5000,2.4,2.1900332
138,2005,cuttack,rice,summer,29,29,5000,2.4,2.2343779
139,2006,cuttack,rice,summer,29,30,5000,1.8,2.2303808
140,2007,cuttack,rice,summer,30,29,5000,2.4,2.2415156
141,2008,cuttack,rice,summer,24,31,5000,2,2.2287138
142,2009,cuttack,rice,summer,26,28,3000,2.33,2.2504337
143,2010,cuttack,rice,summer,30,31,3000,2.33,2.2261822
144,2011,cuttack,rice,summer,35,30,4000,2.75,2.2473679
145,2012,cuttack,rice,summer,25,32,376000,0.02,0.8345007
146,2013,cuttack,rice,summer,36,31,3000,2,2.7844045
147,2014,cuttack,rice,summer,35,29,1000,3,2.7096763
148,2015,cuttack,rice,summer,29,30,1000,2,2.4313056
149,2016,cuttack,rice,summer,25,31,1500,3.41,3.1063356
150,2017,cuttack,rice,summer,27,29,350,2.83,2.8032026
151,2018,cuttack,rice,summer,28,32,780,2.81,2.777114
152,2019,cuttack,rice,summer,29,32,2050,4.2,3.6023242
159,2004,cuttack,groundnut,summer,25,29,2887,0.97,1.1771517
160,2005,cuttack,groundnut,summer,29,29,3429,1.1,1.2043833
161,2006,cuttack,groundnut,summer,29,30,2623,1.21,1.1913968
162,2007,cuttack,groundnut,summer,30,29,4112,1.25,1.2210598
163,2008,cuttack,groundnut,summer,24,31,2757,1.2,1.1996504
164,2009,cuttack,groundnut,summer,26,28,2222,1.15,1.2507466
165,2010,cuttack,groundnut,summer,30,31,1463,1.06,1.2028425
166,2011,cuttack,groundnut,summer,35,30,1297,1.38,1.2320001
167,2012,cuttack,groundnut,summer,25,32,1787,1.11,1.3126779
168,2013,cuttack,groundnut,summer,36,31,1458,1.33,1.4264427
169,2014,cuttack,groundnut,summer,35,29,1404,1.56,1.4342743
170,2015,cuttack,groundnut,summer,29,30,1288,0.85,1.3892164
171,2016,cuttack,groundnut,summer,25,31,823,1.18,1.4536889
172,2017,cuttack,groundnut,summer,27,29,915,1.37,1.4830301
173,2018,cuttack,groundnut,summer,28,32,264,1.32,1.4936023
174,2019,cuttack,groundnut,summer,29,32,375,1.98,1.9258088
181,2004,cuttack,groundnut,winter,46,27,363,1.59,1.3024532
182,2005,cuttack,groundnut,winter,39,20,95,1.07,1.087797
183,2006,cuttack,groundnut,winter,38,24,75,1.14,1.1532836
184,2007,cuttack,groundnut,winter,100,25,165,1.25,1.1003797
185,2008,cuttack,groundnut,winter,125,26,70,1.4,1.0786201
186,2009,cuttack,groundnut,winter,30,21,506,1.15,1.1128174
187,2010,cuttack,groundnut,winter,4,23,342,1.04,1.1231759
188,2011,cuttack,groundnut,winter,10,20.8,191,1.3,1.1703017
379,2004,angul,groundnut,autumn,350,30,2933,0.83,0.8441998
380,2005,angul,groundnut,autumn,230,29,3610,0.87,0.8521396
381,2006,angul,groundnut,autumn,289,31,2666,0.93,0.84582156
382,2007,angul,groundnut,autumn,360,29,2838,0.82,0.87607324
383,2008,angul,groundnut,autumn,256,28,2603,0.95,0.82623565
384,2009,angul,groundnut,autumn,333,31,3375,0.84,0.88629484
385,2010,angul,groundnut,autumn,313,30,2285,0.92,0.90441096
386,2011,angul,groundnut,autumn,301,29,1923,0.97,0.8958643
387,2012,angul,groundnut,autumn,258,28,3043,1.08,1.0188848
388,2013,angul,groundnut,autumn,225,29,1342,1.13,1.0859402
389,2014,angul,groundnut,autumn,220,30,1829,1.29,1.0852656
390,2015,angul,groundnut,autumn,236,31,1259,1.14,1.0442724
391,2016,angul,groundnut,autumn,225,30,1235,1.04,1.1752695
392,2017,angul,groundnut,autumn,214,29,1051,1.14,1.1769441
393,2018,angul,groundnut,autumn,332,28,604,1.45,1.1896718
394,2019,angul,groundnut,autumn,310,29,515,2.08,1.6170992
401,2004,angul,groundnut,summer,35,25,795,1.26,1.1065387
402,2005,angul,groundnut,summer,29,29,1500,1.18,1.2339365
403,2006,angul,groundnut,summer,30,30,1531,1.28,1.2436261
404,2007,angul,groundnut,summer,31,31,835,1.2,1.148662
405,2008,angul,groundnut,summer,32,32,903,1.2,1.2185438
406,2009,angul,groundnut,summer,35,25,580,1.18,1.1221474
407,2010,angul,groundnut,summer,36,25,489,1.21,1.1090028
408,2011,angul,groundnut,summer,35,28,212,1.05,1.1051713
409,2012,angul,groundnut,summer,36,26,301,1.31,1.1711214
410,2013,angul,groundnut,summer,29,32,181,1.34,1.401409
411,2014,angul,groundnut,summer,35,32,210,1.6,1.4004285
412,2015,angul,groundnut,summer,31,31,339,1.52,1.3641461
413,2016,angul,groundnut,summer,28,30,699,1.69,1.5085477
414,2017,angul,groundnut,summer,36,29,1083,1.42,1.4974629
415,2018,angul,groundnut,summer,30,31.5,491,1.5,1.5189409
416,2019,angul,groundnut,summer,31,32,738,2.14,1.8891091
423,2004,angul,groundnut,winter,28,25,392,1.18,1.0505298
424,2005,angul,groundnut,winter,27,22,194,0.92,0.9643311
425,2006,angul,groundnut,winter,30,22,360,1.18,1.045126
