Year,District,Crop,Season,Rainfall_mm,Avg_Temp_C,Area_Ha,Yield_t_ha
1999,cuttack,rice,winter,40,25,133000,0.37
2000,cuttack,rice,winter,42,22,139830,1.19
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,rice,winter,46,27,129000,1.94
2005,cuttack,rice,winter,39,20,135000,2.01
2006,cuttack,rice,winter,38,24,121000,1.5
2007,cuttack,rice,winter,100,25,130000,1.72
2008,cuttack,rice,winter,125,26,120000,1.43
2009,cuttack,rice,winter,30,21,128000,2.09
2010,cuttack,rice,winter,4,23,126000,1.84
2011,cuttack,rice,winter,10,20.8,128000,1.92
2012,cuttack,rice,winter,45,21,120000,2.99
2013,cuttack,rice,winter,85,25,115000,1.46
2014,cuttack,rice,winter,40,24,120000,2.51
2015,cuttack,rice,winter,30,29,118000,2.03
2016,cuttack,rice,winter,10,28,116190,3.34
2017,cuttack,rice,winter,16,27,106570,2.22
2018,cuttack,rice,winter,35,24,96450,2.7
2019,cuttack,rice,winter,10,26,116810,3.29
,,,,,,,
1999,cuttack,rice,autumn,210,30,19900,1.22
2000,cuttack,rice,autumn,300,29,3250,1.27
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,rice,autumn,210,29,5000,1.31
2005,cuttack,rice,autumn,250,30,5000,1.5
2006,cuttack,rice,autumn,280,28,5000,1.17
2007,cuttack,rice,autumn,259,27,5000,1
2008,cuttack,rice,autumn,279,29,5000,0.63
2009,cuttack,rice,autumn,300,30,3000,1.5
2010,cuttack,rice,autumn,351,31,3000,1
2011,cuttack,rice,autumn,210,30,4000,0.67
2012,cuttack,rice,autumn,240,30,376000,2.13
2013,cuttack,rice,autumn,269,29,3000,1
2014,cuttack,rice,autumn,274,28,1000,2
2015,cuttack,rice,autumn,236,30,1000,1.5
2016,cuttack,rice,autumn,245,28,1500,1.79
2017,cuttack,rice,autumn,308,29,350,1.02
2018,cuttack,rice,autumn,310,30,780,1.61
2019,cuttack,rice,autumn,300,29,2050,2.4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,urad,winter,46,27,15139,0.38
2005,cuttack,urad,winter,39,20,17689,0.31
2006,cuttack,urad,winter,38,24,14882,0.45
2007,cuttack,urad,winter,100,25,16369,0.44
2008,cuttack,urad,winter,125,26,14398,0.39
2009,cuttack,urad,winter,30,21,17302,0.38
2010,cuttack,urad,winter,4,23,10693,0.36
2011,cuttack,urad,winter,10,20.8,16222,0.38
2012,cuttack,urad,winter,45,21,13769,0.4
2013,cuttack,urad,winter,85,25,3021,0.38
2014,cuttack,urad,winter,40,24,3900,0.49
2015,cuttack,urad,winter,30,29,1923,0.37
2016,cuttack,urad,winter,10,28,3445,0.36
2017,cuttack,urad,winter,16,27,1456,0.38
2018,cuttack,urad,winter,35,24,1946,0.46
2019,cuttack,urad,winter,10,26,6393,0.56
,,,,,,,
1999,cuttack,urad,kharif,210,30,2330,0.39
2000,cuttack,urad,kharif,300,29,9869,0.35
2001,cuttack,urad,kharif,305,31,17784,0.47
2002,cuttack,urad,kharif,335,28,11253,0.4
2003,cuttack,urad,kharif,225,30,20493,0.38
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2003,cuttack,urad,summer,65,30,1546,0.56
2004,cuttack,urad,summer,25,29,1981,0.46
2005,cuttack,urad,summer,29,29,1943,0.42
2006,cuttack,urad,summer,29,30,3982,0.47
2007,cuttack,urad,summer,30,29,3775,0.45
2008,cuttack,urad,summer,24,31,2591,0.42
2009,cuttack,urad,summer,26,28,2454,0.43
2010,cuttack,urad,summer,30,31,1157,0.41
2011,cuttack,urad,summer,35,30,481,0.43
2012,cuttack,urad,summer,25,32,300,0.44
2013,cuttack,urad,summer,36,31,276,0.5
2014,cuttack,urad,summer,35,29,2021,0.51
2015,cuttack,urad,summer,29,30,6060,0.67
2016,cuttack,urad,summer,25,31,3836,0.58
2017,cuttack,urad,summer,27,29,329,0.41
2018,cuttack,urad,summer,28,32,1132,0.21
2019,cuttack,urad,summer,29,32,1132,0.31
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,groundnut,autumn,210,29,376,0.56
2005,cuttack,groundnut,autumn,250,30,236,0.63
2006,cuttack,groundnut,autumn,280,28,456,0.8
2007,cuttack,groundnut,autumn,259,27,249,0.79
2008,cuttack,groundnut,autumn,279,29,285,0.58
2009,cuttack,groundnut,autumn,300,30,211,0.74
2010,cuttack,groundnut,autumn,351,31,349,0.78
2011,cuttack,groundnut,autumn,210,30,206,0.65
2012,cuttack,groundnut,autumn,240,30,61,0.64
2013,cuttack,groundnut,autumn,269,29,20,1.06
,,,,,,,
,,,,,,,
2016,cuttack,groundnut,autumn,245,28,57,1.16
,,,,,,,
2018,cuttack,groundnut,autumn,310,30,27,1.03
2019,cuttack,groundnut,autumn,300,29,62,1.77
,,,,,,,
1999,cuttack,rice,summer,29,25,19900,2.31
2000,cuttack,rice,summer,25,29,3250,1.96
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,rice,summer,25,29,5000,2.4
2005,cuttack,rice,summer,29,29,5000,2.4
2006,cuttack,rice,summer,29,30,5000,1.8
2007,cuttack,rice,summer,30,29,5000,2.4
2008,cuttack,rice,summer,24,31,5000,2
2009,cuttack,rice,summer,26,28,3000,2.33
2010,cuttack,rice,summer,30,31,3000,2.33
2011,cuttack,rice,summer,35,30,4000,2.75
2012,cuttack,rice,summer,25,32,376000,0.02
2013,cuttack,rice,summer,36,31,3000,2
2014,cuttack,rice,summer,35,29,1000,3
2015,cuttack,rice,summer,29,30,1000,2
2016,cuttack,rice,summer,25,31,1500,3.41
2017,cuttack,rice,summer,27,29,350,2.83
2018,cuttack,rice,summer,28,32,780,2.81
2019,cuttack,rice,summer,29,32,2050,4.2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,groundnut,summer,25,29,2887,0.97
2005,cuttack,groundnut,summer,29,29,3429,1.1
2006,cuttack,groundnut,summer,29,30,2623,1.21
